	impact	impact_unit	stressor	factor
0	Value Added	M.EUR	Taxes less subsidies on products purchased: Total	1.0
1	Value Added	M.EUR	Other net taxes on production	1.0
2	Value Added	M.EUR	Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	1.0
3	Value Added	M.EUR	Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	1.0
4	Value Added	M.EUR	Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	1.0
5	Value Added	M.EUR	Operating surplus: Consumption of fixed capital	1.0
6	Value Added	M.EUR	Operating surplus: Rents on land	1.0
7	Value Added	M.EUR	Operating surplus: Royalties on resources	1.0
8	Value Added	M.EUR	Operating surplus: Remaining net operating surplus	1.0
1716	Employment	1000 p.	Employment: Low-skilled male	1.0
1717	Employment	1000 p.	Employment: Low-skilled female	1.0
1718	Employment	1000 p.	Employment: Medium-skilled male	1.0
1719	Employment	1000 p.	Employment: Medium-skilled female	1.0
1720	Employment	1000 p.	Employment: High-skilled male	1.0
1721	Employment	1000 p.	Employment: High-skilled female	1.0
3429	Employment hour	hr	Employment hours: Low-skilled male	1000000.0
3430	Employment hour	hr	Employment hours: Low-skilled female	1000000.0
3431	Employment hour	hr	Employment hours: Medium-skilled male	1000000.0
3432	Employment hour	hr	Employment hours: Medium-skilled female	1000000.0
3433	Employment hour	hr	Employment hours: High-skilled male	1000000.0
3434	Employment hour	hr	Employment hours: High-skilled female	1000000.0
13679	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CO2 - combustion - air	1.0
13680	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - combustion - air	25.0
13681	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	N2O - combustion - air	298.0
13723	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Extraction/production of (natural) gas - air	25.0
13724	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Extraction/production of crude oil - air	25.0
13725	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Mining of antracite - air	25.0
13726	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Mining of bituminous coal - air	25.0
13727	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Mining of coking coal - air	25.0
13728	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Mining of lignite (brown coal) - air	25.0
13729	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Mining of sub-bituminous coal - air	25.0
13730	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Oil refinery - air	25.0
13748	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CO2 - non combustion - Cement production - air	1.0
13749	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CO2 - non combustion - Lime production - air	1.0
14079	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	SF6 - air	22800.0
14080	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	HFC - air	1.0
14081	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	PFC - air	1.0
14082	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - agriculture - air	25.0
14083	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CO2 - agriculture - peat decay - air	1.0
14085	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	N2O - agriculture - air	298.0
14091	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - waste - air	25.0
14093	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CO2 - waste - biogenic - air	1.0
14094	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CO2 - waste - fossil - air	1.0
76845	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Benzo(a)pyrene - combustion - air	2.48e-05
76850	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	PCDD_F - combustion - air	28.49436228
76851	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	HCB - combustion - air	9.15e-05
76856	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - combustion - air	0.01676327
76857	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - combustion - air	0.046678373
76858	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cr - combustion - air	1.59e-09
76859	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cu - combustion - air	1.36e-05
76860	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - combustion - air	0.861765404
76861	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - combustion - air	5e-05
76862	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - combustion - air	0.00959508
76863	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Se - combustion - air	9.83e-08
76864	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - combustion - air	0.015958213
76865	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - non combustion - Agglomeration plant - pellets - air	0.01676327
76866	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - non combustion - Agglomeration plant - sinter - air	0.01676327
76867	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - non combustion - Glass production - air	0.01676327
76868	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - non combustion - Production of coke oven coke - air	0.01676327
76869	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - non combustion - Production of gascoke - air	0.01676327
76870	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - non combustion - Steel production: basic oxygen furnace - air	0.01676327
76871	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - non combustion - Steel production: electric arc furnace - air	0.01676327
76872	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	As - non combustion - Steel production: open hearth furnace - air	0.01676327
76873	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	B(a)P - non combustion - Primary aluminium production - air	2.48e-05
76874	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	B(a)P - non combustion - Production of coke oven coke - air	2.48e-05
76875	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	B(a)P - non combustion - Production of gascoke - air	2.48e-05
76909	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Agglomeration plant - pellets - air	0.046678373
76910	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Agglomeration plant - sinter - air	0.046678373
76911	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Glass production - air	0.046678373
76912	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Nickel, unwrought - air	0.046678373
76913	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Production of coke oven coke - air	0.046678373
76914	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Production of gascoke - air	0.046678373
76915	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Refined copper; unwrought, not alloyed - air	0.046678373
76916	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Refined lead, unwrought - air	0.046678373
76917	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Steel production: basic oxygen furnace - air	0.046678373
76918	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Steel production: electric arc furnace - air	0.046678373
76919	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Steel production: open hearth furnace - air	0.046678373
76920	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	0.046678373
76921	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cd - non combustion - Zinc, unwrought, not alloyed - air	0.046678373
76922	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cr - non combustion - Agglomeration plant - pellets - air	1.59e-09
76923	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cr - non combustion - Agglomeration plant - sinter - air	1.59e-09
76924	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cr - non combustion - Glass production - air	1.59e-09
76925	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cr - non combustion - Pig iron production, blast furnace - air	1.59e-09
76926	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cr - non combustion - Steel production: basic oxygen furnace - air	1.59e-09
76927	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cr - non combustion - Steel production: electric arc furnace - air	1.59e-09
76928	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cr - non combustion - Steel production: open hearth furnace - air	1.59e-09
76929	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cu - non combustion - Agglomeration plant - pellets - air	1.36e-05
76930	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cu - non combustion - Agglomeration plant - sinter - air	1.36e-05
76931	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cu - non combustion - Glass production - air	1.36e-05
76932	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cu - non combustion - Pig iron production, blast furnace - air	1.36e-05
76933	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cu - non combustion - Steel production: basic oxygen furnace - air	1.36e-05
76934	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cu - non combustion - Steel production: electric arc furnace - air	1.36e-05
76935	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Cu - non combustion - Steel production: open hearth furnace - air	1.36e-05
76936	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	HCB - non combustion - Agglomeration plant - pellets - air	9.15e-05
76937	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	HCB - non combustion - Agglomeration plant - sinter - air	9.15e-05
76938	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Agglomeration plant - pellets - air	0.861765404
76939	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Agglomeration plant - sinter - air	0.861765404
76940	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Glass production - air	0.861765404
76941	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Nickel, unwrought - air	0.861765404
76942	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Pig iron production, blast furnace - air	0.861765404
76943	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Production of coke oven coke - air	0.861765404
76944	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Production of gascoke - air	0.861765404
76945	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Refined copper; unwrought, not alloyed - air	0.861765404
76946	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Refined lead, unwrought - air	0.861765404
76947	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	HCB - non combustion - Secondary aluminium production - air	9.15e-05
76948	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Steel production: basic oxygen furnace - air	0.861765404
76949	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Steel production: electric arc furnace - air	0.861765404
76950	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	0.861765404
76951	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Hg - non combustion - Zinc, unwrought, not alloyed - air	0.861765404
77025	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - non combustion - Agglomeration plant - pellets - air	5e-05
77026	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - non combustion - Agglomeration plant - sinter - air	5e-05
77027	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - non combustion - Glass production - air	5e-05
77028	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - non combustion - Production of coke oven coke - air	5e-05
77029	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - non combustion - Production of gascoke - air	5e-05
77030	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - non combustion - Steel production: basic oxygen furnace - air	5e-05
77031	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - non combustion - Steel production: electric arc furnace - air	5e-05
77032	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Ni - non combustion - Steel production: open hearth furnace - air	5e-05
77045	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	PCDD/F - non combustion - Agglomeration plant - pellets - air	28.49436228
77046	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	PCDD/F - non combustion - Agglomeration plant - sinter - air	28.49436228
77047	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	PCDD/F - non combustion - Pig iron production, blast furnace - air	28.49436228
77048	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	PCDD/F - non combustion - Secondary aluminium production - air	28.49436228
77049	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	PCDD/F - non combustion - Steel production: basic oxygen furnace - air	28.49436228
77050	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	PCDD/F - non combustion - Steel production: electric arc furnace - air	28.49436228
77143	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Agglomeration plant - pellets - air	0.00959508
77144	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Agglomeration plant - sinter - air	0.00959508
77145	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Glass production - air	0.00959508
77146	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Nickel, unwrought - air	0.00959508
77147	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Pig iron production, blast furnace - air	0.00959508
77148	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Production of coke oven coke - air	0.00959508
77149	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Production of gascoke - air	0.00959508
77150	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Refined copper; unwrought, not alloyed - air	0.00959508
77151	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Refined lead, unwrought - air	0.00959508
77152	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Steel production: basic oxygen furnace - air	0.00959508
77153	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Steel production: electric arc furnace - air	0.00959508
77154	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Steel production: open hearth furnace - air	0.00959508
77155	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	0.00959508
77156	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Pb - non combustion - Zinc, unwrought, not alloyed - air	0.00959508
77226	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Agglomeration plant - pellets - air	0.015958213
77227	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Agglomeration plant - sinter - air	0.015958213
77228	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Glass production - air	0.015958213
77229	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Nickel, unwrought - air	0.015958213
77230	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Pig iron production, blast furnace - air	0.015958213
77231	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Refined copper; unwrought, not alloyed - air	0.015958213
77232	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Refined lead, unwrought - air	0.015958213
77233	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Steel production: basic oxygen furnace - air	0.015958213
77234	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Steel production: electric arc furnace - air	0.015958213
77235	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Steel production: open hearth furnace - air	0.015958213
77236	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	0.015958213
77237	Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	cases	Zn - non combustion - Zinc, unwrought, not alloyed - air	0.015958213
78552	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Benzo(a)pyrene - combustion - air	43.5330803
78555	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Indeno(1,2,3-cd)pyrene - combustion - air	0.531497366
78557	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	PCDD_F - combustion - air	106410.8281
78558	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	HCB - combustion - air	621.9127738
78563	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - combustion - air	17079.27811
78564	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - combustion - air	3955.359738
78565	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cr - combustion - air	521.3592427
78566	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cu - combustion - air	23320.11995
78567	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Hg - combustion - air	12297.33467
78568	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Ni - combustion - air	6137.384705
78569	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Pb - combustion - air	176.062889
78570	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Se - combustion - air	2989.82139
78571	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Zn - combustion - air	16872.47176
78572	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - non combustion - Agglomeration plant - pellets - air	17079.27811
78573	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - non combustion - Agglomeration plant - sinter - air	17079.27811
78574	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - non combustion - Glass production - air	17079.27811
78575	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - non combustion - Production of coke oven coke - air	17079.27811
78576	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - non combustion - Production of gascoke - air	17079.27811
78577	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - non combustion - Steel production: basic oxygen furnace - air	17079.27811
78578	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - non combustion - Steel production: electric arc furnace - air	17079.27811
78579	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	As - non combustion - Steel production: open hearth furnace - air	17079.27811
78580	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	B(a)P - non combustion - Primary aluminium production - air	43.5330803
78581	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	B(a)P - non combustion - Production of coke oven coke - air	43.5330803
78582	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	B(a)P - non combustion - Production of gascoke - air	43.5330803
78616	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Agglomeration plant - pellets - air	3955.359738
78617	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Agglomeration plant - sinter - air	3955.359738
78618	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Glass production - air	3955.359738
78619	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Nickel, unwrought - air	3955.359738
78620	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Production of coke oven coke - air	3955.359738
78621	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Production of gascoke - air	3955.359738
78622	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Refined copper; unwrought, not alloyed - air	3955.359738
78623	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Refined lead, unwrought - air	3955.359738
78624	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Steel production: basic oxygen furnace - air	3955.359738
78625	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Steel production: electric arc furnace - air	3955.359738
78626	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Steel production: open hearth furnace - air	3955.359738
78627	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	3955.359738
78628	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cd - non combustion - Zinc, unwrought, not alloyed - air	3955.359738
78629	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cr - non combustion - Agglomeration plant - pellets - air	521.3592427
78630	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cr - non combustion - Agglomeration plant - sinter - air	521.3592427
78631	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cr - non combustion - Glass production - air	521.3592427
78632	Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	PAF m3.day	Cr - non combustion - Pig iron production, blast furnace - air	521.3592427
